ASVID,Domain,Phylum,Class,Order,Family,Genus,Species
ASV_52,D_0__Bacteria,D_1__Acidobacteria,D_2__Blastocatellia (Subgroup 4),D_3__11-24,D_4__uncultured Acidobacteriales bacterium,D_5__uncultured Acidobacteriales bacterium,D_6__uncultured Acidobacteriales bacterium
ASV_53,D_0__Bacteria,D_1__Acidobacteria,D_2__Blastocatellia (Subgroup 4),D_3__11-24,D_4__uncultured bacterium,D_5__uncultured bacterium,D_6__uncultured bacterium
ASV_54,D_0__Bacteria,D_1__Acidobacteria,D_2__Blastocatellia (Subgroup 4),D_3__11-24,NA,NA,NA
ASV_55,D_0__Bacteria,D_1__Acidobacteria,D_2__Blastocatellia (Subgroup 4),D_3__Blastocatellales,D_4__Blastocatellaceae,D_5__Aridibacter,D_6__uncultured bacterium
ASV_56,D_0__Bacteria,D_1__Acidobacteria,D_2__Blastocatellia (Subgroup 4),D_3__Blastocatellales,D_4__Blastocatellaceae,D_5__Blastocatella,D_6__metagenome
ASV_57,D_0__Bacteria,D_1__Acidobacteria,D_2__Blastocatellia (Subgroup 4),D_3__Blastocatellales,D_4__Blastocatellaceae,D_5__Blastocatella,NA
ASV_58,D_0__Bacteria,D_1__Acidobacteria,D_2__Blastocatellia (Subgroup 4),D_3__Blastocatellales,D_4__Blastocatellaceae,D_5__JGI 0001001-H03,NA
ASV_59,D_0__Bacteria,D_1__Acidobacteria,D_2__Blastocatellia (Subgroup 4),D_3__Blastocatellales,D_4__Blastocatellaceae,D_5__OLB17,NA
ASV_60,D_0__Bacteria,D_1__Acidobacteria,D_2__Blastocatellia (Subgroup 4),D_3__Blastocatellales,D_4__Blastocatellaceae,D_5__uncultured,NA
ASV_61,D_0__Bacteria,D_1__Acidobacteria,D_2__Blastocatellia (Subgroup 4),D_3__Blastocatellales,D_4__Blastocatellaceae,NA,NA
ASV_62,D_0__Bacteria,D_1__Acidobacteria,D_2__Blastocatellia (Subgroup 4),D_3__DS-100,D_4__uncultured Acidobacteria bacterium,D_5__uncultured Acidobacteria bacterium,D_6__uncultured Acidobacteria bacterium
ASV_63,D_0__Bacteria,D_1__Acidobacteria,D_2__Blastocatellia (Subgroup 4),D_3__DS-100,D_4__uncultured bacterium,D_5__uncultured bacterium,D_6__uncultured bacterium
ASV_64,D_0__Bacteria,D_1__Acidobacteria,D_2__Blastocatellia (Subgroup 4),D_3__DS-100,NA,NA,NA
ASV_65,D_0__Bacteria,D_1__Acidobacteria,D_2__Blastocatellia (Subgroup 4),D_3__Elev-16S-573,D_4__uncultured soil bacterium,D_5__uncultured soil bacterium,D_6__uncultured soil bacterium
ASV_66,D_0__Bacteria,D_1__Acidobacteria,D_2__Blastocatellia (Subgroup 4),D_3__Pyrinomonadales,D_4__Pyrinomonadaceae,D_5__RB41,D_6__metagenome
ASV_67,D_0__Bacteria,D_1__Acidobacteria,D_2__Blastocatellia (Subgroup 4),D_3__Pyrinomonadales,D_4__Pyrinomonadaceae,D_5__RB41,NA
ASV_68,D_0__Bacteria,D_1__Acidobacteria,D_2__Holophagae,D_3__Holophagales,D_4__Holophagaceae,Ambiguous_taxa,Ambiguous_taxa
ASV_69,D_0__Bacteria,D_1__Acidobacteria,D_2__Holophagae,D_3__Holophagales,D_4__Holophagaceae,D_5__Geothrix,Ambiguous_taxa
ASV_70,D_0__Bacteria,D_1__Acidobacteria,D_2__Holophagae,D_3__Holophagales,D_4__Holophagaceae,D_5__Geothrix,D_6__uncultured bacterium
ASV_71,D_0__Bacteria,D_1__Acidobacteria,D_2__Holophagae,D_3__Holophagales,D_4__Holophagaceae,D_5__Geothrix,NA
ASV_72,D_0__Bacteria,D_1__Acidobacteria,D_2__Holophagae,D_3__Holophagales,D_4__Holophagaceae,D_5__uncultured,D_6__uncultured Acidobacteria bacterium
ASV_73,D_0__Bacteria,D_1__Acidobacteria,D_2__Holophagae,D_3__Holophagales,D_4__Holophagaceae,NA,NA
ASV_74,D_0__Bacteria,D_1__Acidobacteria,D_2__Holophagae,D_3__Subgroup 7,D_4__freshwater sediment metagenome,D_5__freshwater sediment metagenome,D_6__freshwater sediment metagenome
ASV_75,D_0__Bacteria,D_1__Acidobacteria,D_2__Holophagae,D_3__Subgroup 7,D_4__uncultured Acidobacterium sp.,D_5__uncultured Acidobacterium sp.,D_6__uncultured Acidobacterium sp.
ASV_76,D_0__Bacteria,D_1__Acidobacteria,D_2__Holophagae,D_3__Subgroup 7,D_4__uncultured Desulfovirga sp.,D_5__uncultured Desulfovirga sp.,D_6__uncultured Desulfovirga sp.
ASV_77,D_0__Bacteria,D_1__Acidobacteria,D_2__Holophagae,D_3__Subgroup 7,D_4__uncultured Thermaerobacter sp.,D_5__uncultured Thermaerobacter sp.,D_6__uncultured Thermaerobacter sp.
ASV_78,D_0__Bacteria,D_1__Acidobacteria,D_2__Holophagae,D_3__Subgroup 7,D_4__uncultured bacterium SJA-36,D_5__uncultured bacterium SJA-36,D_6__uncultured bacterium SJA-36
ASV_79,D_0__Bacteria,D_1__Acidobacteria,D_2__Holophagae,D_3__Subgroup 7,D_4__uncultured bacterium,D_5__uncultured bacterium,D_6__uncultured bacterium
ASV_80,D_0__Bacteria,D_1__Acidobacteria,D_2__Holophagae,D_3__Subgroup 7,D_4__uncultured proteobacterium,D_5__uncultured proteobacterium,D_6__uncultured proteobacterium
ASV_81,D_0__Bacteria,D_1__Acidobacteria,D_2__Holophagae,D_3__Subgroup 7,D_4__uncultured soil bacterium,D_5__uncultured soil bacterium,D_6__uncultured soil bacterium
ASV_82,D_0__Bacteria,D_1__Acidobacteria,D_2__Holophagae,D_3__Subgroup 7,NA,NA,NA
ASV_83,D_0__Bacteria,D_1__Acidobacteria,D_2__Subgroup 11,D_3__uncultured Acidobacteria bacterium,D_4__uncultured Acidobacteria bacterium,D_5__uncultured Acidobacteria bacterium,D_6__uncultured Acidobacteria bacterium
ASV_84,D_0__Bacteria,D_1__Acidobacteria,D_2__Subgroup 11,D_3__uncultured bacterium,D_4__uncultured bacterium,D_5__uncultured bacterium,D_6__uncultured bacterium
ASV_85,D_0__Bacteria,D_1__Acidobacteria,D_2__Subgroup 11,NA,NA,NA,NA
ASV_86,D_0__Bacteria,D_1__Acidobacteria,D_2__Subgroup 15,D_3__uncultured bacterium,D_4__uncultured bacterium,D_5__uncultured bacterium,D_6__uncultured bacterium
ASV_87,D_0__Bacteria,D_1__Acidobacteria,D_2__Subgroup 15,NA,NA,NA,NA
ASV_88,D_0__Bacteria,D_1__Acidobacteria,D_2__Subgroup 17,D_3__metagenome,D_4__metagenome,D_5__metagenome,D_6__metagenome
ASV_89,D_0__Bacteria,D_1__Acidobacteria,D_2__Subgroup 17,D_3__uncultured soil bacterium,D_4__uncultured soil bacterium,D_5__uncultured soil bacterium,D_6__uncultured soil bacterium
ASV_90,D_0__Bacteria,D_1__Acidobacteria,D_2__Subgroup 17,NA,NA,NA,NA
ASV_91,D_0__Bacteria,D_1__Acidobacteria,D_2__Subgroup 18,Ambiguous_taxa,Ambiguous_taxa,Ambiguous_taxa,Ambiguous_taxa
ASV_92,D_0__Bacteria,D_1__Acidobacteria,D_2__Subgroup 18,D_3__uncultured soil bacterium,D_4__uncultured soil bacterium,D_5__uncultured soil bacterium,D_6__uncultured soil bacterium
ASV_93,D_0__Bacteria,D_1__Acidobacteria,D_2__Subgroup 18,NA,NA,NA,NA
ASV_94,D_0__Bacteria,D_1__Acidobacteria,D_2__Subgroup 22,D_3__uncultured Holophaga sp.,D_4__uncultured Holophaga sp.,D_5__uncultured Holophaga sp.,D_6__uncultured Holophaga sp.
ASV_95,D_0__Bacteria,D_1__Acidobacteria,D_2__Subgroup 22,D_3__uncultured bacterium,D_4__uncultured bacterium,D_5__uncultured bacterium,D_6__uncultured bacterium
ASV_96,D_0__Bacteria,D_1__Acidobacteria,D_2__Subgroup 22,D_3__uncultured proteobacterium,D_4__uncultured proteobacterium,D_5__uncultured proteobacterium,D_6__uncultured proteobacterium
ASV_97,D_0__Bacteria,D_1__Acidobacteria,D_2__Subgroup 22,D_3__uncultured soil bacterium,D_4__uncultured soil bacterium,D_5__uncultured soil bacterium,D_6__uncultured soil bacterium
ASV_98,D_0__Bacteria,D_1__Acidobacteria,D_2__Subgroup 22,NA,NA,NA,NA
ASV_99,D_0__Bacteria,D_1__Acidobacteria,D_2__Subgroup 25,D_3__uncultured bacterium,D_4__uncultured bacterium,D_5__uncultured bacterium,D_6__uncultured bacterium
ASV_100,D_0__Bacteria,D_1__Acidobacteria,D_2__Subgroup 25,NA,NA,NA,NA
ASV_101,D_0__Bacteria,D_1__Acidobacteria,D_2__Subgroup 5,D_3__metagenome,D_4__metagenome,D_5__metagenome,D_6__metagenome
ASV_102,D_0__Bacteria,D_1__Acidobacteria,D_2__Subgroup 5,D_3__uncultured Acidobacterium sp.,D_4__uncultured Acidobacterium sp.,D_5__uncultured Acidobacterium sp.,D_6__uncultured Acidobacterium sp.
ASV_103,D_0__Bacteria,D_1__Acidobacteria,D_2__Subgroup 5,NA,NA,NA,NA
ASV_104,D_0__Bacteria,D_1__Acidobacteria,D_2__Subgroup 6,D_3__Acidobacteria bacterium IGE-011,D_4__Acidobacteria bacterium IGE-011,D_5__Acidobacteria bacterium IGE-011,D_6__Acidobacteria bacterium IGE-011
ASV_105,D_0__Bacteria,D_1__Acidobacteria,D_2__Subgroup 6,D_3__Unknown Order,D_4__Unknown Family,D_5__Luteitalea,Ambiguous_taxa
ASV_106,D_0__Bacteria,D_1__Acidobacteria,D_2__Subgroup 6,D_3__Unknown Order,D_4__Unknown Family,D_5__Luteitalea,D_6__uncultured Acidobacteria bacterium
ASV_107,D_0__Bacteria,D_1__Acidobacteria,D_2__Subgroup 6,D_3__Unknown Order,D_4__Unknown Family,D_5__Luteitalea,NA
ASV_108,D_0__Bacteria,D_1__Acidobacteria,D_2__Subgroup 6,D_3__Unknown Order,D_4__Unknown Family,D_5__Vicinamibacter,D_6__uncultured bacterium
ASV_109,D_0__Bacteria,D_1__Acidobacteria,D_2__Subgroup 6,D_3__metagenome,D_4__metagenome,D_5__metagenome,D_6__metagenome
ASV_110,D_0__Bacteria,D_1__Acidobacteria,D_2__Subgroup 6,D_3__uncultivated soil bacterium clone C112,D_4__uncultivated soil bacterium clone C112,D_5__uncultivated soil bacterium clone C112,D_6__uncultivated soil bacterium clone C112
ASV_111,D_0__Bacteria,D_1__Acidobacteria,D_2__Subgroup 6,D_3__uncultured Acidobacteria bacterium,D_4__uncultured Acidobacteria bacterium,D_5__uncultured Acidobacteria bacterium,D_6__uncultured Acidobacteria bacterium
ASV_112,D_0__Bacteria,D_1__Acidobacteria,D_2__Subgroup 6,D_3__uncultured Acidobacteriaceae bacterium,D_4__uncultured Acidobacteriaceae bacterium,D_5__uncultured Acidobacteriaceae bacterium,D_6__uncultured Acidobacteriaceae bacterium
ASV_113,D_0__Bacteria,D_1__Acidobacteria,D_2__Subgroup 6,D_3__uncultured Geothrix sp.,D_4__uncultured Geothrix sp.,D_5__uncultured Geothrix sp.,D_6__uncultured Geothrix sp.
ASV_114,D_0__Bacteria,D_1__Acidobacteria,D_2__Subgroup 6,D_3__uncultured Holophagae bacterium,D_4__uncultured Holophagae bacterium,D_5__uncultured Holophagae bacterium,D_6__uncultured Holophagae bacterium
ASV_115,D_0__Bacteria,D_1__Acidobacteria,D_2__Subgroup 6,D_3__uncultured bacterium 213,D_4__uncultured bacterium 213,D_5__uncultured bacterium 213,D_6__uncultured bacterium 213
ASV_116,D_0__Bacteria,D_1__Acidobacteria,D_2__Subgroup 6,D_3__uncultured bacterium 259,D_4__uncultured bacterium 259,D_5__uncultured bacterium 259,D_6__uncultured bacterium 259
ASV_117,D_0__Bacteria,D_1__Acidobacteria,D_2__Subgroup 6,D_3__uncultured bacterium 98,D_4__uncultured bacterium 98,D_5__uncultured bacterium 98,D_6__uncultured bacterium 98
ASV_118,D_0__Bacteria,D_1__Acidobacteria,D_2__Subgroup 6,D_3__uncultured bacterium gp6,D_4__uncultured bacterium gp6,D_5__uncultured bacterium gp6,D_6__uncultured bacterium gp6
ASV_119,D_0__Bacteria,D_1__Acidobacteria,D_2__Subgroup 6,D_3__uncultured bacterium mle1-25,D_4__uncultured bacterium mle1-25,D_5__uncultured bacterium mle1-25,D_6__uncultured bacterium mle1-25
ASV_120,D_0__Bacteria,D_1__Acidobacteria,D_2__Subgroup 6,D_3__uncultured beta proteobacterium,D_4__uncultured beta proteobacterium,D_5__uncultured beta proteobacterium,D_6__uncultured beta proteobacterium
ASV_121,D_0__Bacteria,D_1__Acidobacteria,D_2__Subgroup 6,D_3__uncultured forest soil bacterium,D_4__uncultured forest soil bacterium,D_5__uncultured forest soil bacterium,D_6__uncultured forest soil bacterium
ASV_122,D_0__Bacteria,D_1__Acidobacteria,D_2__Subgroup 6,D_3__uncultured prokaryote,D_4__uncultured prokaryote,D_5__uncultured prokaryote,D_6__uncultured prokaryote
ASV_123,D_0__Bacteria,D_1__Acidobacteria,D_2__Subgroup 6,D_3__unidentified,D_4__unidentified,D_5__unidentified,D_6__unidentified
ASV_124,D_0__Bacteria,D_1__Acidobacteria,D_2__Subgroup 6,NA,NA,NA,NA
ASV_125,D_0__Bacteria,D_1__Acidobacteria,D_2__Thermoanaerobaculia,D_3__Thermoanaerobaculales,D_4__Thermoanaerobaculaceae,D_5__Subgroup 10,D_6__metagenome
ASV_126,D_0__Bacteria,D_1__Acidobacteria,D_2__Thermoanaerobaculia,D_3__Thermoanaerobaculales,D_4__Thermoanaerobaculaceae,D_5__Subgroup 10,D_6__uncultured Bacteroidetes bacterium
ASV_127,D_0__Bacteria,D_1__Acidobacteria,D_2__Thermoanaerobaculia,D_3__Thermoanaerobaculales,D_4__Thermoanaerobaculaceae,D_5__Subgroup 10,D_6__uncultured Geoalkalibacter sp.
ASV_128,D_0__Bacteria,D_1__Acidobacteria,D_2__Thermoanaerobaculia,D_3__Thermoanaerobaculales,D_4__Thermoanaerobaculaceae,D_5__Subgroup 10,D_6__uncultured bacterium
ASV_129,D_0__Bacteria,D_1__Acidobacteria,D_2__Thermoanaerobaculia,D_3__Thermoanaerobaculales,D_4__Thermoanaerobaculaceae,D_5__Subgroup 10,D_6__uncultured prokaryote
ASV_130,D_0__Bacteria,D_1__Acidobacteria,D_2__Thermoanaerobaculia,D_3__Thermoanaerobaculales,D_4__Thermoanaerobaculaceae,D_5__Subgroup 10,D_6__uncultured soil bacterium
ASV_131,D_0__Bacteria,D_1__Acidobacteria,D_2__Thermoanaerobaculia,D_3__Thermoanaerobaculales,D_4__Thermoanaerobaculaceae,D_5__Subgroup 10,NA
ASV_132,D_0__Bacteria,D_1__Acidobacteria,NA,NA,NA,NA,NA
ASV_133,D_0__Bacteria,D_1__Actinobacteria,D_2__Acidimicrobiia,D_3__Actinomarinales,D_4__uncultured,NA,NA
ASV_134,D_0__Bacteria,D_1__Actinobacteria,D_2__Acidimicrobiia,D_3__IMCC26256,Ambiguous_taxa,Ambiguous_taxa,Ambiguous_taxa
ASV_135,D_0__Bacteria,D_1__Actinobacteria,D_2__Acidimicrobiia,D_3__IMCC26256,D_4__metagenome,D_5__metagenome,D_6__metagenome
ASV_136,D_0__Bacteria,D_1__Actinobacteria,D_2__Acidimicrobiia,D_3__IMCC26256,D_4__uncultured Acidimicrobiales bacterium,D_5__uncultured Acidimicrobiales bacterium,D_6__uncultured Acidimicrobiales bacterium
ASV_137,D_0__Bacteria,D_1__Actinobacteria,D_2__Acidimicrobiia,D_3__IMCC26256,D_4__uncultured Acidimicrobidae bacterium,D_5__uncultured Acidimicrobidae bacterium,D_6__uncultured Acidimicrobidae bacterium
ASV_138,D_0__Bacteria,D_1__Actinobacteria,D_2__Acidimicrobiia,D_3__IMCC26256,D_4__uncultured Aciditerrimonas sp.,D_5__uncultured Aciditerrimonas sp.,D_6__uncultured Aciditerrimonas sp.
ASV_139,D_0__Bacteria,D_1__Actinobacteria,D_2__Acidimicrobiia,D_3__IMCC26256,NA,NA,NA
ASV_140,D_0__Bacteria,D_1__Actinobacteria,D_2__Acidimicrobiia,D_3__Microtrichales,D_4__Iamiaceae,D_5__Iamia,Ambiguous_taxa
ASV_141,D_0__Bacteria,D_1__Actinobacteria,D_2__Acidimicrobiia,D_3__Microtrichales,D_4__Iamiaceae,D_5__Iamia,D_6__uncultured bacterium
ASV_142,D_0__Bacteria,D_1__Actinobacteria,D_2__Acidimicrobiia,D_3__Microtrichales,D_4__Iamiaceae,D_5__Iamia,NA
ASV_143,D_0__Bacteria,D_1__Actinobacteria,D_2__Acidimicrobiia,D_3__Microtrichales,D_4__Ilumatobacteraceae,D_5__CL500-29 marine group,D_6__metagenome
ASV_144,D_0__Bacteria,D_1__Actinobacteria,D_2__Acidimicrobiia,D_3__Microtrichales,D_4__Ilumatobacteraceae,D_5__CL500-29 marine group,NA
ASV_145,D_0__Bacteria,D_1__Actinobacteria,D_2__Acidimicrobiia,D_3__Microtrichales,D_4__Ilumatobacteraceae,D_5__Ilumatobacter,D_6__uncultured bacterium
ASV_146,D_0__Bacteria,D_1__Actinobacteria,D_2__Acidimicrobiia,D_3__Microtrichales,D_4__Ilumatobacteraceae,D_5__Ilumatobacter,NA
ASV_147,D_0__Bacteria,D_1__Actinobacteria,D_2__Acidimicrobiia,D_3__Microtrichales,D_4__Ilumatobacteraceae,D_5__uncultured,D_6__metagenome
ASV_148,D_0__Bacteria,D_1__Actinobacteria,D_2__Acidimicrobiia,D_3__Microtrichales,D_4__Ilumatobacteraceae,D_5__uncultured,D_6__uncultured Acidimicrobiales bacterium
ASV_149,D_0__Bacteria,D_1__Actinobacteria,D_2__Acidimicrobiia,D_3__Microtrichales,D_4__Ilumatobacteraceae,D_5__uncultured,D_6__uncultured bacterium
ASV_150,D_0__Bacteria,D_1__Actinobacteria,D_2__Acidimicrobiia,D_3__Microtrichales,D_4__Ilumatobacteraceae,D_5__uncultured,NA
ASV_151,D_0__Bacteria,D_1__Actinobacteria,D_2__Acidimicrobiia,D_3__Microtrichales,D_4__Ilumatobacteraceae,NA,NA
ASV_152,D_0__Bacteria,D_1__Actinobacteria,D_2__Acidimicrobiia,D_3__Microtrichales,D_4__Microtrichaceae,D_5__IMCC26207,Ambiguous_taxa
ASV_153,D_0__Bacteria,D_1__Actinobacteria,D_2__Acidimicrobiia,D_3__Microtrichales,D_4__Microtrichaceae,D_5__IMCC26207,D_6__uncultured bacterium
ASV_154,D_0__Bacteria,D_1__Actinobacteria,D_2__Acidimicrobiia,D_3__Microtrichales,D_4__Microtrichaceae,D_5__IMCC26207,NA
ASV_155,D_0__Bacteria,D_1__Actinobacteria,D_2__Acidimicrobiia,D_3__Microtrichales,D_4__Microtrichaceae,D_5__Sva0996 marine group,NA
ASV_156,D_0__Bacteria,D_1__Actinobacteria,D_2__Acidimicrobiia,D_3__Microtrichales,D_4__Microtrichaceae,D_5__uncultured,D_6__metagenome
